cafe_name,cafe_address
Blue,"Yishak Arzi 1, Tel Baruch Beach Tel Aviv"
Risso,"Rehov Hadar Yosef 14 Tel Aviv 6992666,"
Coffee Station,"Ibn Gabirol 152 Tel Aviv,"
Cane Hatachana,"The Station Tel Aviv,"
Creme Fraiche Cafe,"Rehov Yehuda Hanasi 34 Tel Aviv,"
Casino San Remo,"Nehama 2 Noga Qtr, Jaffa"
Max Brenner Rothchild,"Sderot Rothschild 45 Tel Aviv,"
Delizie,"Rehov Ben Yehuda 41 Tel Aviv 63807,"
Cafe Levinsky 41,"41 Levinsky Tel Aviv,"
Shaked Express,"8 Yehuda Meragusa Tel Aviv,"
Lulu - Cafe Patisserie,"5 Elkalay St. Tel Aviv 74204,"
Max Brenner Tel Aviv Port,"Tel Aviv Port Tel Aviv,"
Fashion caffe,"25 Hammered Street Tel Aviv Pob 50438,"
Birenbaum Cafe,"Nahalat Benyamin 31 Tel Aviv,"
Faruk BaShuk,"Rabbi Nachman 6 Tel Aviv 6813806,"
Roladin,"6 Aluf Kalman Magen Tel Aviv 6107078,"
cafe-hillel,"Rothschild 65 Tel Aviv,"
Amarena Gelato,"74 Bograshov Tel Aviv 6342914,"
Cafeneto,Ibn Gabirol 95 Hod Hasharon
Boutique Central,"Rotschild Avenue 1 Tel Aviv,"
Loveat,"____ ______ 1 Tel Aviv 6511301,"
Tal Bagels,"41 Carlebach Tel Aviv 6527730,"
Cafe Kaymak,"49 Levinski Street, 66526 Tel Aviv-Yafo Tel Aviv,"
Gala Gala Gelateria,"King George 30 Tel Aviv,"
Gibberish,"14 Ami'Ad Tel Aviv,"
Mitzedek,Barnet 5 Neve Tzedek
Lorenz & Mintz,"Rehov Aharon Chelouche 42 Tel Aviv,"
Hilton Tel Aviv Lobby Lounge,"205 HaYarkon St Tel Aviv 63405,"
Esther Rosa,"61 Boghrashof Tel Aviv,"
Cafe Lucia,Balfour 18 Lev Hair
Shmanmonet,"Rehov Yehuda Halevi 109 Tel Aviv 6527201,"
Reviva and Celia,"10 Nissim Aloni Street Tel Aviv,"
Grand Cafe,"Einstein 40 Tel Aviv,"
Flamingo Cafe - Brown Beach House,64 Ha-Yarkon Brown Beach House Hotel
Baccio,"85 Shlomo Hamelech St. Tel Aviv,"
Arcaffe Bakery,"Habima Theatre Building Tel Aviv,"
Betta Cafe,"17 Brodetski St Tel Aviv,"
Movieing Cafe,"308 Diezengoff Tel Aviv 6259304,"
Streets,114 Ibn Gbirol Street Corner of Arlozorov Street
Nazarin,"montephiory Tel Aviv,"
The Ohel,"7 Beilinson Tel Aviv 6356703,"
Bialik Bar Cafe,"2 Bialik Tel Aviv 6332402,"
Landwer Cafe Tel Aviv,"22 Huberman Tel Aviv,"
Bucke,"Ahad Ha'am Street 91 Tel Aviv,"
Cafe Landver,Rehov Yordei ha-Sira 2 Tel Aviv Port
Tony ve Esther Coffee House,"39 Levinski Tel Aviv 6610910,"
Cafe 9-Beach,"1 Khavakuk ha-Navi Tel Aviv 6350501,"
Espresso Bar,"57 Yehuda ha-Maccabi Tel Aviv 6226304,"
Roladin Bakery and Cafe,"Weizman Street Tel Aviv,"
Ha-Sandwich,"59 Nahalat Binyamin Tel Aviv,"
Nina Cafe,"29 Shavezi St. Tel Aviv 65150,"
Lehamim Bakery,"Hashmonaim 103 Tel Aviv 67133,"
Cafe Henrietta,"186 Arloserov Street Tel Aviv 6492309,"
La Gaterie,"97 King George Street Tel Aviv,"
Samuca,"Mazal Arieh 5 Jaffa, Tel Aviv,"
Rothschild 12,"12 Rothschild Blvd. Tel Aviv,"
Basher,"201 Dizengoff St. Tel Aviv,"
Hilinka Bistro,"76 Arlozorov st Tel Aviv,"
Nahat,Reines 1 Dizengoff Square
Baker's,"3 Nafkha Tel Aviv 6523136,"
Cafe Xoho,"17 Gordon Street Tel Aviv 63000,"
Aroma,"1 Shaul HaMelech Avenue Tel Aviv,"
Just Coffee,"Rehov King George 26 Tel Aviv 1111111,"
Bread and Co,Ben Yehuda St 128 Cnr. Ben Gurion St
Lilush Panini,"73 Frishman st Tel Aviv,"
Cafe Greg - Weizman,"2 Weizman Tel Aviv 6423902,"
Le Moulin,"72 Bograshov Tel Aviv,"
Lounge Cafe,"Bograshov Street Tel Aviv,"
Richrach,"192 Dizengof Tel Aviv,"
Cafelix Yohanan Hasandlar,"Rehov Yohanan Hasandlar 23 Tel Aviv,"
Sonya,King George 18 Tel Aviv-Yafo
Olive korner,"35 Bograshov Tel Aviv 6334226,"
Milk Bakery,"Rehov Beit Eshel 5 Jaffa, Tel Aviv,"
Coffee Gartner,"Derech Menachem Begin 23 Tel Aviv,"
Sidewalk Cafe,"130 Diezengoff Tel Aviv 6439729,"
Cafe Nona Tel-Aviv,"44 Ibn Gabirol Tel Aviv 6436407,"
Cafe Nimrod,"Hangar 8, Tel Aviv Port Tel Aviv,"
Cafe Yaffo,"11 Olei Zion st, Flea market shuk hapishpishim Jaffa Yaffo"
La Bonne Patisserie,"Camino Al Cedral 19 Tlalpan, Mexico DF"
The Streets,"2 Ha-Nevi'im Tel Aviv 6435602,"
Bar Lehem,"Kehilat Saloniki Street Tel Aviv 60000,"
JAVA,"196 Ben Yehuda Tel Aviv 6347211,"
Dallal Bakery,"7 Kol Yisra'el Khaverim Tel Aviv 6515807,"
Cafe Paul's,"Yefet 142 Jaffa, Tel Aviv,"
Zomer Bakery,"Frishman 39 Tel Aviv,"
Cafe Albert,40 Einstein Street Ramat-Aviv Mall
Basma Coffee,"5 Louis Pasteur Street Jaffa, Tel Aviv 68032,"
Rachel,"71 Ibn Gabirol Street Tel Aviv,"
Sigal Karpel Chocolaterie & Patisserie,Rehov David Marcus 16 Ramat Hahayel
Nechama Vehezi,"144 Ahad Haam Tel Aviv,"
Cafelix,"Rehov Shlomo Hamelech 12 Tel Aviv,"
Evita,"31 Yavne Tel Aviv,"
Cafe Cafe,"53 Yigal Alon Tel Aviv,"
Arcaffe Asuta,"27 Ha-Barzel Tel Aviv 6971039,"
Cafe Greg HaTachana,Rehov Yehezkel Kaufmann Mitcham HaTachana Neve Tzedek
Mazal Arieh Music Bar,"Mazal Arieh 5 Jaffa, Tel Aviv 6803653,"
Cafe Michal,"230 Diezengoff Tel Aviv 6311522,"
Edition By Sagit Goldin,"Rehov Aharon Chelouche 27 Tel Aviv,"
Cafe Casbah,"3 Florentine Street Tel Aviv,"
Fauchon Tlv,"3 Calman Magen Tel Aviv,"
GREENWICH - Fresh Take Out,"95 Hahashmonaim Tel Aviv 6813604,"
Benedict,3 Kalman Magen Street Sarona Market
Daniella,"Rehov Maavar Yabok 5 Tel Aviv,"
Habutke,"27 Tchernikhovski Tel Aviv 6329140,"
Nola American Bakery,"197 Dizengoff St. Tel Aviv,"
Cafe Louise,11 Harugey Hamalchut Ramat Hachayal
cacao,"rotchild Tel Aviv,"
Adraba,Ben Yehuda 46 Bugrashov
Cafe Rogette,"Marzuk Ve-Azar 2 Tel Aviv 6802128,"
Sus Etz,"20 Sheinkin St., Center City Tel Aviv,"
Cafe Tachtit,"9 Lincoln Street Tel Aviv,"
Muli Cafe,"Aharon Beker 8 Tel Aviv,"
Sala Team,"Rehov HaArbaa 10 Tel Aviv,"
Cafe' Mersand,"70 Ben Yehuda Street Tel Aviv,"
Anastasia Cafe,"54 Frishman St Tel Aviv,"
City Cafe,Herzl 79 Florentin
Landwer's caffe,"Tel Aviv, Tel Aviv"
Tznovar,Rehov Zeitlin 1 Rabin Square
Benzion1,"1 Sderot Simha Ben ZIon Tel Aviv 63567,"
Landver Cafe,"70 Eben Gvirol Tel Aviv 64952,"
Mae Cafe,"98 Even Gvirol Street Tel Aviv,"
Jolie,"18 Nahalat Yits'Hak Tel Aviv,"
Bread Story,"Dizengoff 86 Tel Aviv,"
Bakery - Dizengoff,"Rehov Dizengoff 260 Tel Aviv,"
Loveat Nachalat Binyamin,"Nachalat Binyamin 3 Tel Aviv,"
Cafe Lieselotte,"20 Reines Tel Aviv 6438124,"
Espressobar Rothschild,"Rothschild 8 Tel Aviv,"
ANINA Eretz Israel Museum,"Levanon 2 Ramat Aviv Tel Aviv Isreal Tel Aviv,"
Cafe Trio,"92 Derech Ben Tsvi Tel Aviv,"
Lachmanina,"14 Kreminitzky St. Tel Aviv,"
Zorik cafe,Yehuda Macabi 4 Milano square
Under the Tree,"Rehov Ben Yehuda 202 Tel Aviv,"
Cafe Hillel Ramat Aviv,"21 Achimeir Street Tel Aviv,"
Beit HaBad Cafe,Rehov Rav Aluf David Elazar 22 Sarona Market
Meat Mix,"Rehov Allenby 50 Tel Aviv,"